20000000; 0.774
40000000; 1.594
60000000; 2.514
80000000; 6.442
100000000; 9.237
120000000; 4.748
140000000; 6.506
160000000; 6.847
180000000; 7.749
200000000; 9.590
2000000; 0.191
4000000; 0.379
6000000; 0.568
8000000; 0.403
10000000; 0.518
12000000; 0.554
14000000; 0.592
16000000; 0.715
18000000; 0.733
20000000; 0.935
2000000; 0.084
4000000; 0.154
6000000; 0.250
8000000; 0.345
10000000; 0.409
12000000; 0.490
14000000; 0.580
16000000; 0.746
18000000; 0.737
20000000; 0.793
2000000; 0.087
4000000; 0.180
6000000; 0.256
8000000; 0.338
10000000; 0.446
12000000; 0.475
14000000; 0.594
16000000; 0.719
18000000; 0.710
20000000; 0.773
