20000000; 1.370
40000000; 4.409
60000000; 4.412
80000000; 6.833
100000000; 16.156
120000000; 8.787
140000000; 10.585
160000000; 12.210
180000000; 13.820
200000000; 15.190
2000000; 0.302
4000000; 0.288
6000000; 0.409
8000000; 0.497
10000000; 0.654
12000000; 0.787
14000000; 0.908
16000000; 1.039
18000000; 1.213
20000000; 1.358
2000000; 0.129
4000000; 0.245
6000000; 0.361
8000000; 0.509
10000000; 0.641
12000000; 0.779
14000000; 0.913
16000000; 1.039
18000000; 1.250
20000000; 1.372
2000000; 0.129
4000000; 0.263
6000000; 0.360
8000000; 0.503
10000000; 0.632
12000000; 0.781
14000000; 0.919
16000000; 1.068
18000000; 1.286
20000000; 1.330
